Salinity,Generation,Chemical,Gene,ddCT
10,0,Cyfluthrin,igf2,-0.699333333
10,0,Cyfluthrin,rps6,-1.045333333
10,0,Cyhalothrin,17bHSD,2.508722222
10,0,Cyhalothrin,arx,
10,0,Cyhalothrin,atp1,
10,0,Cyhalothrin,atp2,
10,0,Cyhalothrin,cyp1a1,-1.286722222
10,0,Cyhalothrin,dnmt3,0.643166667
10,0,Cyhalothrin,esr,-0.525055556
10,0,Cyhalothrin,igf2,0.797166667
10,0,Cyhalothrin,rps6,0.386166667
10,0,Cyhalothrin,17bHSD,1.838222222
10,0,Cyhalothrin,arx,0.315222222
10,0,Cyhalothrin,atp1,0.861333333
10,0,Cyhalothrin,atp2,-0.262777778
10,0,Cyhalothrin,cyp1a1,-1.318222222
10,0,Cyhalothrin,dnmt3,0.322666667
10,0,Cyhalothrin,esr,-0.940555556
10,0,Cyhalothrin,igf2,0.106666667
10,0,Cyhalothrin,rps6,-0.237333333
10,0,Cyhalothrin,17bHSD,1.836722222
10,0,Cyhalothrin,arx,-0.089277778
10,0,Cyhalothrin,atp1,0.809833333
10,0,Cyhalothrin,atp2,-0.138277778
10,0,Cyhalothrin,cyp1a1,-1.553722222
10,0,Cyhalothrin,dnmt3,-0.233833333
10,0,Cyhalothrin,esr,-0.722055556
10,0,Cyhalothrin,igf2,-0.101833333
10,0,Cyhalothrin,rps6,-0.152833333
10,0,Cyhalothrin,17bHSD,-0.296277778
10,0,Cyhalothrin,arx,-0.433277778
10,0,Cyhalothrin,atp1,-0.720166667
10,0,Cyhalothrin,atp2,-0.308277778
10,0,Cyhalothrin,cyp1a1,1.022277778
10,0,Cyhalothrin,dnmt3,-1.012833333
10,0,Cyhalothrin,esr,-2.747055556
10,0,Cyhalothrin,igf2,-0.830833333
10,0,Cyhalothrin,rps6,-0.600833333
10,0,Cyhalothrin,17bHSD,-0.071277778
10,0,Cyhalothrin,arx,-0.384277778
10,0,Cyhalothrin,atp1,-0.762166667
10,0,Cyhalothrin,atp2,-0.278277778
10,0,Cyhalothrin,cyp1a1,0.819277778
10,0,Cyhalothrin,dnmt3,-0.817833333
10,0,Cyhalothrin,esr,-2.279055556
10,0,Cyhalothrin,igf2,-0.684833333
10,0,Cyhalothrin,rps6,-0.505833333
10,0,Cyhalothrin,17bHSD,0.927222222
10,0,Cyhalothrin,arx,1.021222222
10,0,Cyhalothrin,atp1,0.288333333
10,0,Cyhalothrin,atp2,0.704222222
